cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
"carru ba3 si4-ki'1bi3=2 tan3 nda4-kwi3ko4=run4=a2 tan3 nda4-xa2a2=e2 be'3e3 i3kan4 ndi4 tu4un1 ñu'3u2 nu14u(3)=2 i3kan4 i4ndu'3u4=2 sa4-ko1yo3=a2 ta4ba4=2 ta'1yu(1)=a1 ta4ba4=2 sa4-ko1yo3=a2 tan3, tan3 na4 xa14ku'1u1 ndi4 ja1 so'3o3 ni1-ke1ta3 ñu'1u3 ndi4 ja1 kwi14i3 ka1 sa4-ko1yo(3)=e4=e2 ndi4 na3a4 nu14u(3)=e4.","▁carru ▁ba 3 ▁si 4- ki '1 bi 3=2 ▁tan 3 ▁nda 4- kwi 3 ko 4= run 4= a 2 ▁tan 3 ▁nda 4- xa 2 a 2= e 2 ▁be '3 e 3 ▁i 3 kan 4 ▁ndi 4 ▁tu 4 un 1 ▁ñu '3 u 2 ▁nu 14 u (3)=2 ▁i 3 kan 4 ▁i 4 ndu '3 u 4=2 ▁sa 4- ko 1 yo 3= a 2 ▁ta 4 ba 4=2 ▁ta '1 yu (1)= a 1 ▁ta 4 ba 4=2 ▁sa 4- ko 1 yo 3= a 2 ▁tan 3, ▁tan 3 ▁na 4 ▁xa 14 ku '1 u 1 ▁ndi 4 ▁ja 1 ▁so '3 o 3 ▁ni 1- ke 1 ta 3 ▁ñu '1 u 3 ▁ndi 4 ▁ja 1 ▁kwi 14 i 3 ▁ka 1 ▁sa 4- ko 1 yo (3)= e 4= e 2 ▁ndi 4 ▁na 3 a 4 ▁nu 14 u (3)= e 4.","▁carru ▁ba 3 ▁si 4- ki '1 bi 3= 2 ▁tan 3 ▁nda 4- kwi 3 ko 4= run 4= a 2 ▁tan 3 ▁nda 4- xa 2 a 2= e 2 ▁be '3 e 3 ▁i 3 kan 4 ▁ndi 4 ▁tu 4 un 1 ▁ñu '3 u 2 ▁nu 1 4 u (3)= 2 ▁i 3 kan 4 ▁i 4 ndu '3 u 4= 2 ▁sa 4- ko 1 yo 3= a 2 ▁ta 4 ba 4= 2 ▁ta '1 yu (1)= a 1 ▁ta 4 ba 4= 2 ▁sa 4- ko 1 yo 3= a 2 ▁tan 3, ▁tan 3 ▁na 4 ▁xa 1 4 ku '1 u 1 ▁ndi 4 ▁ja 1 ▁so '3 o 3 ▁ni 1- ke 1 ta 3 ▁ñu '1 u 3 ▁ndi 4 ▁ja 1 ▁kwi 1 4 i 3 ▁ka 1 ▁sa 4- ko 1 yo (3)= e 4= e 2 ▁ndi 4 ▁na 3 a 4 ▁nu 1 4 u (3)= e 4.","carruba3si4ki'1bi3 2tan3nda4kwi3ko4 run4 a2tan3nda4xa2a2 e2be'3e3i3kan4ndi4tu4un1ñu'3u2nu14u(3) 2i3kan4i4ndu'3u4 2sa4ko1yo3 a2ta4ba4 2ta'1yu(1) a1ta4ba4 2sa4ko1yo3 a2tan3,tan3na4xa14ku'1u1ndi4ja1so'3o3ni1ke1ta3ñu'1u3ndi4ja1kwi14i3ka1sa4ko1yo(3) e4 e2ndi4na3a4nu14u(3) e4.","▁ c a r r u ▁ b a 3 ▁ s i 4 - k i ' 1 b i 3 = 2 ▁ t a n 3 ▁ n d a 4 - k w i 3 k o 4 = r u n 4 = a 2 ▁ t a n 3 ▁ n d a 4 - x a 2 a 2 = e 2 ▁ b e ' 3 e 3 ▁ i 3 k a n 4 ▁ n d i 4 ▁ t u 4 u n 1 ▁ ñ u ' 3 u 2 ▁ n u 1 4 u ( 3 ) = 2 ▁ i 3 k a n 4 ▁ i 4 n d u ' 3 u 4 = 2 ▁ s a 4 - k o 1 y o 3 = a 2 ▁ t a 4 b a 4 = 2 ▁ t a ' 1 y u ( 1 ) = a 1 ▁ t a 4 b a 4 = 2 ▁ s a 4 - k o 1 y o 3 = a 2 ▁ t a n 3 , ▁ t a n 3 ▁ n a 4 ▁ x a 1 4 k u ' 1 u 1 ▁ n d i 4 ▁ j a 1 ▁ s o ' 3 o 3 ▁ n i 1 - k e 1 t a 3 ▁ ñ u ' 1 u 3 ▁ n d i 4 ▁ j a 1 ▁ k w i 1 4 i 3 ▁ k a 1 ▁ s a 4 - k o 1 y o ( 3 ) = e 4 = e 2 ▁ n d i 4 ▁ n a 3 a 4 ▁ n u 1 4 u ( 3 ) = e 4 ."
Nda143 ka4ni'1i3=ni42 ku4u4=na2 sa4-ko1yo3=a2 a1chi1 ndi4 tan42 ku4u4 mi4i4 ki3ni3 ka4a4 ndi4 kwa'1a4=ni42 i3chi4 ku4u(4)=a2 na4tu2 ya1 kwi3ko(4)=e4 ji'4in4 ki3ti4 ba43.,▁Nda 143 ▁ka 4 ni '1 i 3= ni 42 ▁ku 4 u 4= na 2 ▁sa 4- ko 1 yo 3= a 2 ▁a 1 chi 1 ▁ndi 4 ▁tan 42 ▁ku 4 u 4 ▁mi 4 i 4 ▁ki 3 ni 3 ▁ka 4 a 4 ▁ndi 4 ▁kwa '1 a 4= ni 42 ▁i 3 chi 4 ▁ku 4 u (4)= a 2 ▁na 4 tu 2 ▁ya 1 ▁kwi 3 ko (4)= e 4 ▁ji '4 in 4 ▁ki 3 ti 4 ▁ba 43.,▁Nda 143 ▁ka 4 ni '1 i 3= ni 4 2 ▁ku 4 u 4= na 2 ▁sa 4- ko 1 yo 3= a 2 ▁a 1 chi 1 ▁ndi 4 ▁tan 4 2 ▁ku 4 u 4 ▁mi 4 i 4 ▁ki 3 ni 3 ▁ka 4 a 4 ▁ndi 4 ▁kwa '1 a 4= ni 4 2 ▁i 3 chi 4 ▁ku 4 u (4)= a 2 ▁na 4 tu 2 ▁ya 1 ▁kwi 3 ko (4)= e 4 ▁ji '4 in 4 ▁ki 3 ti 4 ▁ba 4 3.,Nda143ka4ni'1i3 ni42ku4u4 na2sa4ko1yo3 a2a1chi1ndi4tan42ku4u4mi4i4ki3ni3ka4a4ndi4kwa'1a4 ni42i3chi4ku4u(4) a2na4tu2ya1kwi3ko(4) e4ji'4in4ki3ti4ba43.,▁ N d a 1 4 3 ▁ k a 4 n i ' 1 i 3 = n i 4 2 ▁ k u 4 u 4 = n a 2 ▁ s a 4 - k o 1 y o 3 = a 2 ▁ a 1 c h i 1 ▁ n d i 4 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ m i 4 i 4 ▁ k i 3 n i 3 ▁ k a 4 a 4 ▁ n d i 4 ▁ k w a ' 1 a 4 = n i 4 2 ▁ i 3 c h i 4 ▁ k u 4 u ( 4 ) = a 2 ▁ n a 4 t u 2 ▁ y a 1 ▁ k w i 3 k o ( 4 ) = e 4 ▁ j i ' 4 i n 4 ▁ k i 3 t i 4 ▁ b a 4 3 .
Nda143 nu1ni4 nda4kwi1ko4.,▁Nda 143 ▁nu 1 ni 4 ▁nda 4 kwi 1 ko 4.,▁Nda 143 ▁nu 1 ni 4 ▁nda 4 kwi 1 ko 4.,Nda143nu1ni4nda4kwi1ko4.,▁ N d a 1 4 3 ▁ n u 1 n i 4 ▁ n d a 4 k w i 1 k o 4 .
Nda143 nu1ni4 nda4kwi1ko4.,▁Nda 143 ▁nu 1 ni 4 ▁nda 4 kwi 1 ko 4.,▁Nda 143 ▁nu 1 ni 4 ▁nda 4 kwi 1 ko 4.,Nda143nu1ni4nda4kwi1ko4.,▁ N d a 1 4 3 ▁ n u 1 n i 4 ▁ n d a 4 k w i 1 k o 4 .
"Tan3 o4ra2, o4ra2 ja1 ku4u(4)=a2 nu1ni4 tan3 nda4-nde1e3 ba'1a3=e2 ¿nda4a2 nda4-ta3an4 ba'1a3=ndo4=a3?","▁Tan 3 ▁o 4 ra 2, ▁o 4 ra 2 ▁ja 1 ▁ku 4 u (4)= a 2 ▁nu 1 ni 4 ▁tan 3 ▁nda 4- nde 1 e 3 ▁ba '1 a 3= e 2 ▁¿ nda 4 a 2 ▁nda 4- ta 3 an 4 ▁ba '1 a 3= ndo 4= a 3?","▁Tan 3 ▁o 4 ra 2, ▁o 4 ra 2 ▁ja 1 ▁ku 4 u (4)= a 2 ▁nu 1 ni 4 ▁tan 3 ▁nda 4- nde 1 e 3 ▁ba '1 a 3= e 2 ▁¿ nda 4 a 2 ▁nda 4- ta 3 an 4 ▁ba '1 a 3= ndo 4= a 3?","Tan3o4ra2,o4ra2ja1ku4u(4) a2nu1ni4tan3nda4nde1e3ba'1a3 e2¿nda4a2nda4ta3an4ba'1a3 ndo4 a3?","▁ T a n 3 ▁ o 4 r a 2 , ▁ o 4 r a 2 ▁ j a 1 ▁ k u 4 u ( 4 ) = a 2 ▁ n u 1 n i 4 ▁ t a n 3 ▁ n d a 4 - n d e 1 e 3 ▁ b a ' 1 a 3 = e 2 ▁ ¿ n d a 4 a 2 ▁ n d a 4 - t a 3 a n 4 ▁ b a ' 1 a 3 = n d o 4 = a 3 ?"
Ko14o3 ka1 na1 i4xa3 chi4ñu3 ya3ka2 ji'4in4.,▁Ko 14 o 3 ▁ka 1 ▁na 1 ▁i 4 xa 3 ▁chi 4 ñu 3 ▁ya 3 ka 2 ▁ji '4 in 4.,▁Ko 1 4 o 3 ▁ka 1 ▁na 1 ▁i 4 xa 3 ▁chi 4 ñu 3 ▁ya 3 ka 2 ▁ji '4 in 4.,Ko14o3ka1na1i4xa3chi4ñu3ya3ka2ji'4in4.,▁ K o 1 4 o 3 ▁ k a 1 ▁ n a 1 ▁ i 4 x a 3 ▁ c h i 4 ñ u 3 ▁ y a 3 k a 2 ▁ j i ' 4 i n 4 .
"Ti1jin3 tambo ta4an24=ndu(3)=a3, ti1xin3 tambo ta4an24=ndu(2)=a2 Ba14sa3 ka1, ba14sa3 ni1-ndi'3i3, ya1 ko4ndo3 ya3ka2 ja3 ndi4 ni1-ndi'3i3 xa'1a4=e2 kan4 a1chi1 ndi4","▁Ti 1 jin 3 ▁tambo ▁ta 4 an 24= ndu (3)= a 3, ▁ti 1 xin 3 ▁tambo ▁ta 4 an 24= ndu (2)= a 2 ▁Ba 14 sa 3 ▁ka 1, ▁ba 14 sa 3 ▁ni 1- ndi '3 i 3, ▁ya 1 ▁ko 4 ndo 3 ▁ya 3 ka 2 ▁ja 3 ▁ndi 4 ▁ni 1- ndi '3 i 3 ▁xa '1 a 4= e 2 ▁kan 4 ▁a 1 chi 1 ▁ndi 4","▁Ti 1 ji n 3 ▁tambo ▁ta 4 an 2 4= ndu (3)= a 3, ▁ti 1 xin 3 ▁tambo ▁ta 4 an 2 4= ndu (2)= a 2 ▁Ba 1 4 sa 3 ▁ka 1, ▁ba 1 4 sa 3 ▁ni 1- ndi '3 i 3, ▁ya 1 ▁ko 4 ndo 3 ▁ya 3 ka 2 ▁ja 3 ▁ndi 4 ▁ni 1- ndi '3 i 3 ▁xa '1 a 4= e 2 ▁kan 4 ▁a 1 chi 1 ▁ndi 4","Ti1jin3tambota4an24 ndu(3) a3,ti1xin3tambota4an24 ndu(2) a2Ba14sa3ka1,ba14sa3ni1ndi'3i3,ya1ko4ndo3ya3ka2ja3ndi4ni1ndi'3i3xa'1a4 e2kan4a1chi1ndi4","▁ T i 1 j i n 3 ▁ t a m b o ▁ t a 4 a n 2 4 = n d u ( 3 ) = a 3 , ▁ t i 1 x i n 3 ▁ t a m b o ▁ t a 4 a n 2 4 = n d u ( 2 ) = a 2 ▁ B a 1 4 s a 3 ▁ k a 1 , ▁ b a 1 4 s a 3 ▁ n i 1 - n d i ' 3 i 3 , ▁ y a 1 ▁ k o 4 n d o 3 ▁ y a 3 k a 2 ▁ j a 3 ▁ n d i 4 ▁ n i 1 - n d i ' 3 i 3 ▁ x a ' 1 a 4 = e 2 ▁ k a n 4 ▁ a 1 c h i 1 ▁ n d i 4"
"na4chu3 ba42 ni1-ndi'3i3 xa'1a4=e2 ti1ki3xin4 ku4u4 ti4 ba143 xa'4a13=ri4 ku3-chi3tu4=a2 kan4 ndi4 xa4xi24=ri4=a2 ndi1ku1nda42 ya1, ya1 chi4tu4=a2 kan4.","▁na 4 chu 3 ▁ba 42 ▁ni 1- ndi '3 i 3 ▁xa '1 a 4= e 2 ▁ti 1 ki 3 xin 4 ▁ku 4 u 4 ▁ti 4 ▁ba 143 ▁xa '4 a 13= ri 4 ▁ku 3- chi 3 tu 4= a 2 ▁kan 4 ▁ndi 4 ▁xa 4 xi 24= ri 4= a 2 ▁ndi 1 ku 1 nda 42 ▁ya 1, ▁ya 1 ▁chi 4 tu 4= a 2 ▁kan 4.","▁na 4 chu 3 ▁ba 4 2 ▁ni 1- ndi '3 i 3 ▁xa '1 a 4= e 2 ▁ti 1 ki 3 xin 4 ▁ku 4 u 4 ▁ti 4 ▁ba 143 ▁xa '4 a 1 3= ri 4 ▁ku 3- chi 3 tu 4= a 2 ▁kan 4 ▁ndi 4 ▁xa 4 xi 2 4= ri 4= a 2 ▁ndi 1 ku 1 nda 4 2 ▁ya 1, ▁ya 1 ▁chi 4 tu 4= a 2 ▁kan 4.","na4chu3ba42ni1ndi'3i3xa'1a4 e2ti1ki3xin4ku4u4ti4ba143xa'4a13 ri4ku3chi3tu4 a2kan4ndi4xa4xi24 ri4 a2ndi1ku1nda42ya1,ya1chi4tu4 a2kan4.","▁ n a 4 c h u 3 ▁ b a 4 2 ▁ n i 1 - n d i ' 3 i 3 ▁ x a ' 1 a 4 = e 2 ▁ t i 1 k i 3 x i n 4 ▁ k u 4 u 4 ▁ t i 4 ▁ b a 1 4 3 ▁ x a ' 4 a 1 3 = r i 4 ▁ k u 3 - c h i 3 t u 4 = a 2 ▁ k a n 4 ▁ n d i 4 ▁ x a 4 x i 2 4 = r i 4 = a 2 ▁ n d i 1 k u 1 n d a 4 2 ▁ y a 1 , ▁ y a 1 ▁ c h i 4 t u 4 = a 2 ▁ k a n 4 ."
"Ndi1ku1nda42 ko4yo13 ti14in3 nu14u(3)=a2 xa4xi24=ni42 tu3 ti14in3 ba(3)=e3, tan3 ya1 chi4tu4=a2 tambo ndi4 ba143 ja4xi24 ka1=ri4=a2 sa3kan4 ndi4","▁Ndi 1 ku 1 nda 42 ▁ko 4 yo 13 ▁ti 14 in 3 ▁nu 14 u (3)= a 2 ▁xa 4 xi 24= ni 42 ▁tu 3 ▁ti 14 in 3 ▁ba (3)= e 3, ▁tan 3 ▁ya 1 ▁chi 4 tu 4= a 2 ▁tambo ▁ndi 4 ▁ba 143 ▁ja 4 xi 24 ▁ka 1= ri 4= a 2 ▁sa 3 kan 4 ▁ndi 4","▁Ndi 1 ku 1 nda 4 2 ▁ko 4 yo 1 3 ▁ti 1 4 in 3 ▁nu 1 4 u (3)= a 2 ▁xa 4 xi 2 4= ni 4 2 ▁tu 3 ▁ti 1 4 in 3 ▁ba (3)= e 3, ▁tan 3 ▁ya 1 ▁chi 4 tu 4= a 2 ▁tambo ▁ndi 4 ▁ba 143 ▁ja 4 xi 2 4 ▁ka 1= ri 4= a 2 ▁sa 3 kan 4 ▁ndi 4","Ndi1ku1nda42ko4yo13ti14in3nu14u(3) a2xa4xi24 ni42tu3ti14in3ba(3) e3,tan3ya1chi4tu4 a2tambondi4ba143ja4xi24ka1 ri4 a2sa3kan4ndi4","▁ N d i 1 k u 1 n d a 4 2 ▁ k o 4 y o 1 3 ▁ t i 1 4 i n 3 ▁ n u 1 4 u ( 3 ) = a 2 ▁ x a 4 x i 2 4 = n i 4 2 ▁ t u 3 ▁ t i 1 4 i n 3 ▁ b a ( 3 ) = e 3 , ▁ t a n 3 ▁ y a 1 ▁ c h i 4 t u 4 = a 2 ▁ t a m b o ▁ n d i 4 ▁ b a 1 4 3 ▁ j a 4 x i 2 4 ▁ k a 1 = r i 4 = a 2 ▁ s a 3 k a n 4 ▁ n d i 4"
i4xa3 ta4ñu3=ni42 ba3 tambo be'3e(3)=o4 tan3 ndi4 na3ni2 i4yo2 mi4i4 ñu'4u(4)=a2 ndi4 ba143,▁i 4 xa 3 ▁ta 4 ñu 3= ni 42 ▁ba 3 ▁tambo ▁be '3 e (3)= o 4 ▁tan 3 ▁ndi 4 ▁na 3 ni 2 ▁i 4 yo 2 ▁mi 4 i 4 ▁ñu '4 u (4)= a 2 ▁ndi 4 ▁ba 143,▁i 4 xa 3 ▁ta 4 ñu 3= ni 4 2 ▁ba 3 ▁tambo ▁be '3 e (3)= o 4 ▁tan 3 ▁ndi 4 ▁na 3 ni 2 ▁i 4 yo 2 ▁mi 4 i 4 ▁ñu '4 u (4)= a 2 ▁ndi 4 ▁ba 143,i4xa3ta4ñu3 ni42ba3tambobe'3e(3) o4tan3ndi4na3ni2i4yo2mi4i4ñu'4u(4) a2ndi4ba143,▁ i 4 x a 3 ▁ t a 4 ñ u 3 = n i 4 2 ▁ b a 3 ▁ t a m b o ▁ b e ' 3 e ( 3 ) = o 4 ▁ t a n 3 ▁ n d i 4 ▁ n a 3 n i 2 ▁ i 4 y o 2 ▁ m i 4 i 4 ▁ ñ u ' 4 u ( 4 ) = a 2 ▁ n d i 4 ▁ b a 1 4 3
¿Sa1a3 ta'3an2 kwa3ti4yu2 nu1ni4 chi'4i4 na1 ñu3u2 kan4 na4 na1 chi'4i4 kwa'1a4 kwa'1a4 ka1?,▁¿ Sa 1 a 3 ▁ta '3 an 2 ▁kwa 3 ti 4 yu 2 ▁nu 1 ni 4 ▁chi '4 i 4 ▁na 1 ▁ñu 3 u 2 ▁kan 4 ▁na 4 ▁na 1 ▁chi '4 i 4 ▁kwa '1 a 4 ▁kwa '1 a 4 ▁ka 1?,▁¿ Sa 1 a 3 ▁ta '3 an 2 ▁kwa 3 ti 4 yu 2 ▁nu 1 ni 4 ▁chi '4 i 4 ▁na 1 ▁ñu 3 u 2 ▁kan 4 ▁na 4 ▁na 1 ▁chi '4 i 4 ▁kwa '1 a 4 ▁kwa '1 a 4 ▁ka 1?,¿Sa1a3ta'3an2kwa3ti4yu2nu1ni4chi'4i4na1ñu3u2kan4na4na1chi'4i4kwa'1a4kwa'1a4ka1?,▁ ¿ S a 1 a 3 ▁ t a ' 3 a n 2 ▁ k w a 3 t i 4 y u 2 ▁ n u 1 n i 4 ▁ c h i ' 4 i 4 ▁ n a 1 ▁ ñ u 3 u 2 ▁ k a n 4 ▁ n a 4 ▁ n a 1 ▁ c h i ' 4 i 4 ▁ k w a ' 1 a 4 ▁ k w a ' 1 a 4 ▁ k a 1 ?
Nda14(3)=e2 kan4 ba42 ji14ni2=o4 ndi4 ka4chi2=na1 ndi4 i4yo2 na1 chi'4i4 nda1 o1ko1 u1xi1=run4 ka4chi2=na1 ndi4 ta'14an2 xa1a1=yu1 ya1 chi'3i(3)=2 o1ko1 u1xi1=run4 yu'1u1 ya1 ku4u(4)=2 ta1 nda'4bi2 ndi4 kwa'1a4=ni42 xu'14un4 ba42 ya1 chi'3i(3)=o4 o1ko1 u1xi1=run4 ndi4,▁Nda 14(3)= e 2 ▁kan 4 ▁ba 42 ▁ji 14 ni 2= o 4 ▁ndi 4 ▁ka 4 chi 2= na 1 ▁ndi 4 ▁i 4 yo 2 ▁na 1 ▁chi '4 i 4 ▁nda 1 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁ka 4 chi 2= na 1 ▁ndi 4 ▁ta '14 an 2 ▁xa 1 a 1= yu 1 ▁ya 1 ▁chi '3 i (3)=2 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁yu '1 u 1 ▁ya 1 ▁ku 4 u (4)=2 ▁ta 1 ▁nda '4 bi 2 ▁ndi 4 ▁kwa '1 a 4= ni 42 ▁xu '14 un 4 ▁ba 42 ▁ya 1 ▁chi '3 i (3)= o 4 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁ndi 4,▁Nda 1 4 (3)= e 2 ▁kan 4 ▁ba 4 2 ▁ji 1 4 ni 2= o 4 ▁ndi 4 ▁ka 4 chi 2= na 1 ▁ndi 4 ▁i 4 yo 2 ▁na 1 ▁chi '4 i 4 ▁nda 1 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁ka 4 chi 2= na 1 ▁ndi 4 ▁ta '1 4 an 2 ▁xa 1 a 1= yu 1 ▁ya 1 ▁chi '3 i (3)= 2 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁yu '1 u 1 ▁ya 1 ▁ku 4 u (4)= 2 ▁ta 1 ▁nda '4 bi 2 ▁ndi 4 ▁kwa '1 a 4= ni 4 2 ▁xu '1 4 un 4 ▁ba 4 2 ▁ya 1 ▁chi '3 i (3)= o 4 ▁o 1 ko 1 ▁u 1 xi 1= run 4 ▁ndi 4,Nda14(3) e2kan4ba42ji14ni2 o4ndi4ka4chi2 na1ndi4i4yo2na1chi'4i4nda1o1ko1u1xi1 run4ka4chi2 na1ndi4ta'14an2xa1a1 yu1ya1chi'3i(3) 2o1ko1u1xi1 run4yu'1u1ya1ku4u(4) 2ta1nda'4bi2ndi4kwa'1a4 ni42xu'14un4ba42ya1chi'3i(3) o4o1ko1u1xi1 run4ndi4,▁ N d a 1 4 ( 3 ) = e 2 ▁ k a n 4 ▁ b a 4 2 ▁ j i 1 4 n i 2 = o 4 ▁ n d i 4 ▁ k a 4 c h i 2 = n a 1 ▁ n d i 4 ▁ i 4 y o 2 ▁ n a 1 ▁ c h i ' 4 i 4 ▁ n d a 1 ▁ o 1 k o 1 ▁ u 1 x i 1 = r u n 4 ▁ k a 4 c h i 2 = n a 1 ▁ n d i 4 ▁ t a ' 1 4 a n 2 ▁ x a 1 a 1 = y u 1 ▁ y a 1 ▁ c h i ' 3 i ( 3 ) = 2 ▁ o 1 k o 1 ▁ u 1 x i 1 = r u n 4 ▁ y u ' 1 u 1 ▁ y a 1 ▁ k u 4 u ( 4 ) = 2 ▁ t a 1 ▁ n d a ' 4 b i 2 ▁ n d i 4 ▁ k w a ' 1 a 4 = n i 4 2 ▁ x u ' 1 4 u n 4 ▁ b a 4 2 ▁ y a 1 ▁ c h i ' 3 i ( 3 ) = o 4 ▁ o 1 k o 1 ▁ u 1 x i 1 = r u n 4 ▁ n d i 4
"lu14u3 líquido ku4ni(2)=a2 lu14u3 abono ku4ni(2)=a2 lu14u3 ni1bi4 ja3chiu4un4 ji'4in(4)=o4 ku4ni(2)=a2, tan3 yu'1u1 ndi4 ta'14an2 xa1a1=yu1 chi'3i(3)=a2 sa3kan4 ndi4 tan42 ku4u4 yu'1u1 ni1-chi'3i(3)=a2 bi3tin3 ndi4","▁lu 14 u 3 ▁lí q uido ▁ku 4 ni (2)= a 2 ▁lu 14 u 3 ▁abono ▁ku 4 ni (2)= a 2 ▁lu 14 u 3 ▁ni 1 bi 4 ▁ja 3 chiu 4 un 4 ▁ji '4 in (4)= o 4 ▁ku 4 ni (2)= a 2, ▁tan 3 ▁yu '1 u 1 ▁ndi 4 ▁ta '14 an 2 ▁xa 1 a 1= yu 1 ▁chi '3 i (3)= a 2 ▁sa 3 kan 4 ▁ndi 4 ▁tan 42 ▁ku 4 u 4 ▁yu '1 u 1 ▁ni 1- chi '3 i (3)= a 2 ▁bi 3 tin 3 ▁ndi 4","▁lu 1 4 u 3 ▁lí q uido ▁ku 4 ni (2)= a 2 ▁lu 1 4 u 3 ▁abono ▁ku 4 ni (2)= a 2 ▁lu 1 4 u 3 ▁ni 1 bi 4 ▁ja 3 chiu 4 un 4 ▁ji '4 in (4)= o 4 ▁ku 4 ni (2)= a 2, ▁tan 3 ▁yu '1 u 1 ▁ndi 4 ▁ta '1 4 an 2 ▁xa 1 a 1= yu 1 ▁chi '3 i (3)= a 2 ▁sa 3 kan 4 ▁ndi 4 ▁tan 4 2 ▁ku 4 u 4 ▁yu '1 u 1 ▁ni 1- chi '3 i (3)= a 2 ▁bi 3 tin 3 ▁ndi 4","lu14u3líquidoku4ni(2) a2lu14u3abonoku4ni(2) a2lu14u3ni1bi4ja3chiu4un4ji'4in(4) o4ku4ni(2) a2,tan3yu'1u1ndi4ta'14an2xa1a1 yu1chi'3i(3) a2sa3kan4ndi4tan42ku4u4yu'1u1ni1chi'3i(3) a2bi3tin3ndi4","▁ l u 1 4 u 3 ▁ l í q u i d o ▁ k u 4 n i ( 2 ) = a 2 ▁ l u 1 4 u 3 ▁ a b o n o ▁ k u 4 n i ( 2 ) = a 2 ▁ l u 1 4 u 3 ▁ n i 1 b i 4 ▁ j a 3 c h i u 4 u n 4 ▁ j i ' 4 i n ( 4 ) = o 4 ▁ k u 4 n i ( 2 ) = a 2 , ▁ t a n 3 ▁ y u ' 1 u 1 ▁ n d i 4 ▁ t a ' 1 4 a n 2 ▁ x a 1 a 1 = y u 1 ▁ c h i ' 3 i ( 3 ) = a 2 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ y u ' 1 u 1 ▁ n i 1 - c h i ' 3 i ( 3 ) = a 2 ▁ b i 3 t i n 3 ▁ n d i 4"
"diecisiete litru ba3 ba42 ni1-chi'3i3 yu'1u1, ya1 diecisiete litru kan4 ndi4","▁diecisiete ▁litru ▁ba 3 ▁ba 42 ▁ni 1- chi '3 i 3 ▁yu '1 u 1, ▁ya 1 ▁diecisiete ▁litru ▁kan 4 ▁ndi 4","▁diecisiete ▁litru ▁ba 3 ▁ba 4 2 ▁ni 1- chi '3 i 3 ▁yu '1 u 1, ▁ya 1 ▁diecisiete ▁litru ▁kan 4 ▁ndi 4","diecisietelitruba3ba42ni1chi'3i3yu'1u1,ya1diecisietelitrukan4ndi4","▁ d i e c i s i e t e ▁ l i t r u ▁ b a 3 ▁ b a 4 2 ▁ n i 1 - c h i ' 3 i 3 ▁ y u ' 1 u 1 , ▁ y a 1 ▁ d i e c i s i e t e ▁ l i t r u ▁ k a n 4 ▁ n d i 4"
